                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.50278,                 0.3527,                0.87563,                0.99634,                      1,                  0.995,                0.84437,                0.60193,                0.34903,                0.97216,              0.0014654,              0.0014654,              0.0014654
                    137,                0.51341,                0.34294,                0.88184,                0.99645,                      1,                  0.995,                0.88056,                0.55683,                0.33772,                0.96605,              0.0014614,              0.0014614,              0.0014614
                    138,                0.48032,                 0.3394,                0.86367,                0.99631,                      1,                  0.995,                0.86187,                0.57124,                0.33273,                0.96041,              0.0014575,              0.0014575,              0.0014575
                    139,                0.52928,                0.37169,                0.92122,                0.99619,                      1,                  0.995,                 0.8569,                0.56423,                 0.3547,                0.95477,              0.0014535,              0.0014535,              0.0014535
                    140,                0.53302,                  0.364,                0.87379,                0.99621,                      1,                  0.995,                0.85871,                0.55354,                0.34752,                0.95132,              0.0014496,              0.0014496,              0.0014496
                    141,                 0.4521,                0.32384,                0.88051,                0.99597,                      1,                  0.995,                0.84674,                0.59102,                0.32388,                0.96841,              0.0014456,              0.0014456,              0.0014456
                    142,                0.53821,                0.37375,                0.89867,                0.99606,                      1,                  0.995,                0.85638,                0.59818,                0.34857,                0.96937,              0.0014416,              0.0014416,              0.0014416
                    143,                0.50367,                0.34609,                0.89555,                0.99649,                      1,                  0.995,                0.86321,                0.59116,                0.33901,                0.96176,              0.0014377,              0.0014377,              0.0014377
                    144,                0.51397,                0.35899,                0.91864,                0.99641,                      1,                  0.995,                0.86888,                0.55094,                0.32607,                0.95622,              0.0014337,              0.0014337,              0.0014337
                    145,                0.60851,                0.37697,                0.92914,                0.99665,                      1,                  0.995,                0.86548,                0.57552,                0.31796,                0.96728,              0.0014298,              0.0014298,              0.0014298
                    146,                0.48505,                0.32855,                0.88019,                0.99645,                      1,                  0.995,                0.85059,                0.62184,                0.33329,                0.97196,              0.0014258,              0.0014258,              0.0014258
                    147,                0.46323,                0.33313,                0.89505,                 0.9965,                      1,                  0.995,                0.83233,                0.64186,                0.32677,                0.98319,              0.0014218,              0.0014218,              0.0014218
                    148,                0.50314,                0.35231,                 0.8841,                 0.9965,                      1,                  0.995,                0.82802,                0.61007,                0.35702,                0.96869,              0.0014179,              0.0014179,              0.0014179
                    149,                0.46457,                0.32879,                0.87359,                0.99678,                      1,                  0.995,                0.83798,                0.58058,                0.36257,                0.96312,              0.0014139,              0.0014139,              0.0014139
                    150,                0.44806,                0.31594,                0.85972,                0.99645,                      1,                  0.995,                0.85953,                0.55428,                0.31063,                0.96169,                0.00141,                0.00141,                0.00141
                    151,                0.51012,                0.33948,                0.89836,                0.99632,                      1,                  0.995,                0.84916,                0.55296,                0.31319,                0.97272,               0.001406,               0.001406,               0.001406
                    152,                0.48059,                  0.338,                0.88326,                0.99629,                      1,                  0.995,                0.86005,                0.57444,                0.31515,                0.98297,               0.001402,               0.001402,               0.001402
                    153,                0.52427,                0.34922,                0.89585,                0.99651,                      1,                  0.995,                0.89231,                0.53474,                0.30379,                0.96097,              0.0013981,              0.0013981,              0.0013981
                    154,                0.50658,                 0.3461,                 0.9037,                0.99655,                      1,                  0.995,                0.90902,                0.51204,                0.29076,                0.94465,              0.0013941,              0.0013941,              0.0013941
                    155,                0.46341,                0.32215,                0.86692,                0.99646,                      1,                  0.995,                0.89074,                0.49617,                 0.2984,                0.93317,              0.0013902,              0.0013902,              0.0013902
                    156,                0.46014,                0.32454,                 0.8563,                0.99642,                      1,                  0.995,                0.88945,                0.52992,                0.30406,                0.94979,              0.0013862,              0.0013862,              0.0013862
                    157,                0.50699,                0.34065,                 0.8797,                0.99646,                      1,                  0.995,                0.87903,                0.54805,                0.31215,                0.95295,              0.0013822,              0.0013822,              0.0013822
                    158,                0.50256,                0.33072,                0.89356,                0.99653,                      1,                  0.995,                0.88121,                0.53018,                0.31526,                0.95101,              0.0013783,              0.0013783,              0.0013783
