                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.50512,                0.37915,                0.89383,                 0.9962,                      1,                  0.995,                0.88553,                0.55047,                0.30631,                0.93382,              0.0015961,              0.0015961,              0.0015961
                    104,                0.51325,                0.37797,                0.89627,                0.99642,                      1,                  0.995,                0.90074,                0.52402,                0.29537,                0.93047,              0.0015921,              0.0015921,              0.0015921
                    105,                0.46885,                 0.3517,                 0.8675,                0.99636,                      1,                  0.995,                0.89253,                0.52522,                0.28787,                0.93208,              0.0015882,              0.0015882,              0.0015882
                    106,                 0.5411,                0.36159,                0.89562,                0.99616,                      1,                  0.995,                0.89195,                0.52808,                0.28327,                0.92748,              0.0015842,              0.0015842,              0.0015842
                    107,                0.54117,                0.38082,                0.91539,                0.99618,                      1,                  0.995,                0.90817,                 0.5718,                0.31864,                0.92284,              0.0015802,              0.0015802,              0.0015802
                    108,                0.47827,                0.33415,                0.86377,                0.99636,                      1,                  0.995,                0.89934,                0.59617,                0.31698,                0.93449,              0.0015763,              0.0015763,              0.0015763
                    109,                 0.4735,                0.33287,                0.86899,                0.99643,                      1,                  0.995,                0.87157,                0.56817,                0.30453,                0.94316,              0.0015723,              0.0015723,              0.0015723
                    110,                0.49064,                0.35049,                0.86302,                0.99645,                      1,                  0.995,                0.88191,                  0.548,                0.28878,                0.94859,              0.0015684,              0.0015684,              0.0015684
                    111,                0.51664,                0.36226,                0.87846,                0.99638,                      1,                  0.995,                0.87919,                0.58393,                0.29505,                0.94254,              0.0015644,              0.0015644,              0.0015644
                    112,                0.55743,                 0.3781,                0.92702,                 0.9962,                      1,                  0.995,                0.85631,                0.65039,                0.31489,                0.93762,              0.0015604,              0.0015604,              0.0015604
                    113,                0.51126,                0.35422,                0.86348,                 0.9962,                      1,                  0.995,                0.85816,                0.62777,                0.30006,                0.93487,              0.0015565,              0.0015565,              0.0015565
                    114,                0.55582,                0.36976,                0.89153,                0.99628,                      1,                  0.995,                0.90212,                0.50889,                0.28764,                0.91744,              0.0015525,              0.0015525,              0.0015525
                    115,                0.51032,                0.36258,                0.89339,                0.99626,                      1,                  0.995,                0.89642,                0.48569,                 0.2963,                0.90992,              0.0015486,              0.0015486,              0.0015486
                    116,                0.51397,                0.36985,                0.87495,                0.99619,                      1,                  0.995,                0.88317,                 0.5234,                0.28487,                0.91853,              0.0015446,              0.0015446,              0.0015446
                    117,                0.47264,                0.35045,                 0.8879,                0.99619,                      1,                  0.995,                0.86978,                0.57345,                0.29737,                0.93072,              0.0015406,              0.0015406,              0.0015406
                    118,                0.50177,                0.34011,                0.88343,                0.99617,                      1,                  0.995,                0.86788,                0.57171,                 0.2986,                0.92707,              0.0015367,              0.0015367,              0.0015367
                    119,                0.46104,                0.33921,                0.85319,                0.99636,                      1,                  0.995,                0.86989,                0.57058,                0.28574,                 0.9356,              0.0015327,              0.0015327,              0.0015327
                    120,                0.45646,                0.31686,                0.86124,                0.99642,                      1,                  0.995,                0.88692,                0.55131,                0.28907,                0.94075,              0.0015288,              0.0015288,              0.0015288
                    121,                0.50334,                0.35942,                0.86702,                0.99632,                      1,                  0.995,                0.88362,                0.56643,                0.29209,                0.94847,              0.0015248,              0.0015248,              0.0015248
                    122,                0.52981,                0.38314,                0.89358,                0.99614,                      1,                  0.995,                0.86835,                0.58349,                0.30798,                 0.9492,              0.0015208,              0.0015208,              0.0015208
                    123,                0.50453,                0.35054,                0.87583,                0.99611,                      1,                  0.995,                0.88416,                0.57194,                0.31099,                0.94065,              0.0015169,              0.0015169,              0.0015169
                    124,                0.46454,                0.32857,                0.83847,                0.99625,                      1,                  0.995,                0.89245,                0.52281,                0.29858,                0.93026,              0.0015129,              0.0015129,              0.0015129
                    125,                0.46674,                0.32932,                0.85159,                0.99644,                      1,                  0.995,                0.88316,                0.57498,                 0.3281,                0.93462,               0.001509,               0.001509,               0.001509
                    126,                0.50684,                0.33702,                0.88622,                0.99651,                      1,                  0.995,                0.85241,                0.57523,                0.33164,                0.93377,               0.001505,               0.001505,               0.001505
                    127,                0.47318,                0.35098,                0.85501,                0.99647,                      1,                  0.995,                0.89354,                0.53093,                 0.3198,                0.92355,               0.001501,               0.001501,               0.001501
                    128,                0.49219,                  0.363,                 0.8958,                0.99635,                      1,                  0.995,                0.89426,                0.52525,                0.29088,                0.92288,              0.0014971,              0.0014971,              0.0014971
                    129,                0.54096,                0.35745,                0.89332,                0.99629,                      1,                  0.995,                0.88506,                0.54046,                0.29189,                  0.922,              0.0014931,              0.0014931,              0.0014931
                    130,                0.50014,                 0.3622,                0.89621,                0.99629,                      1,                  0.995,                0.91458,                 0.5396,                 0.3042,                0.92867,              0.0014892,              0.0014892,              0.0014892
                    131,                0.48901,                 0.3509,                0.85909,                0.99646,                      1,                  0.995,                0.90021,                0.57188,                0.33265,                0.94164,              0.0014852,              0.0014852,              0.0014852
                    132,                0.46326,                0.31018,                0.85121,                0.99646,                      1,                  0.995,                0.89904,                0.59242,                0.36712,                0.94709,              0.0014812,              0.0014812,              0.0014812
                    133,                0.42477,                0.30405,                0.81499,                0.99655,                      1,                  0.995,                0.89946,                0.60567,                0.39505,                0.94304,              0.0014773,              0.0014773,              0.0014773
                    134,                0.45053,                0.32911,                 0.8614,                0.99657,                      1,                  0.995,                0.88844,                0.58659,                0.33877,                0.94042,              0.0014733,              0.0014733,              0.0014733
                    135,                0.50436,                0.33535,                0.84467,                0.99654,                      1,                  0.995,                0.88862,                0.55721,                0.32266,                 0.9317,              0.0014694,              0.0014694,              0.0014694
                    136,                0.42677,                0.31923,                 0.8456,                0.99649,                      1,                  0.995,                0.90114,                0.57974,                0.30573,                0.94175,              0.0014654,              0.0014654,              0.0014654
                    137,                0.46399,                0.33296,                0.85745,                0.99641,                      1,                  0.995,                0.88546,                0.60686,                0.30568,                0.95122,              0.0014614,              0.0014614,              0.0014614
                    138,                0.45594,                0.33817,                0.84455,                0.99642,                      1,                  0.995,                0.87175,                0.59807,                0.31815,                0.94129,              0.0014575,              0.0014575,              0.0014575
                    139,                0.47563,                0.34036,                0.89904,                0.99643,                      1,                  0.995,                0.88475,                0.56967,                0.28499,                0.93708,              0.0014535,              0.0014535,              0.0014535
                    140,                0.50625,                0.34456,                0.85552,                0.99622,                      1,                  0.995,                0.87229,                0.53192,                0.26973,                0.94111,              0.0014496,              0.0014496,              0.0014496
                    141,                0.43552,                0.30509,                0.87463,                 0.9962,                      1,                  0.995,                0.87567,                0.54964,                0.29039,                0.93841,              0.0014456,              0.0014456,              0.0014456
                    142,                 0.4247,                0.30341,                0.85788,                 0.9964,                      1,                  0.995,                0.88871,                0.54426,                 0.2965,                0.93956,              0.0014416,              0.0014416,              0.0014416
                    143,                0.48795,                0.33748,                0.87117,                0.99641,                      1,                  0.995,                0.90059,                0.53903,                0.30377,                0.93816,              0.0014377,              0.0014377,              0.0014377
                    144,                0.49774,                0.33366,                0.89461,                0.99639,                      1,                  0.995,                0.87507,                0.57456,                0.31496,                0.94055,              0.0014337,              0.0014337,              0.0014337
                    145,                 0.4869,                0.32983,                0.88159,                0.99645,                      1,                  0.995,                0.87317,                0.59666,                0.30505,                0.94192,              0.0014298,              0.0014298,              0.0014298
                    146,                0.43906,                 0.3076,                0.84985,                0.99645,                      1,                  0.995,                0.88114,                0.58253,                0.28139,                0.93734,              0.0014258,              0.0014258,              0.0014258
                    147,                0.43893,                0.30686,                0.87293,                0.99647,                      1,                  0.995,                0.88325,                0.60384,                0.27744,                0.93713,              0.0014218,              0.0014218,              0.0014218
                    148,                0.44471,                0.31772,                0.84878,                0.99654,                      1,                  0.995,                0.89235,                0.62067,                0.29464,                0.93469,              0.0014179,              0.0014179,              0.0014179
                    149,                0.45891,                 0.3151,                0.85365,                      1,                      1,                  0.995,                0.89332,                0.60765,                 0.2917,                0.92977,              0.0014139,              0.0014139,              0.0014139
                    150,                0.42933,                0.29239,                0.83365,                 0.9965,                      1,                  0.995,                0.89393,                  0.568,                0.28382,                 0.9278,                0.00141,                0.00141,                0.00141
                    151,                0.48533,                0.32739,                 0.8812,                0.99645,                      1,                  0.995,                0.89834,                0.52403,                0.27654,                0.92812,               0.001406,               0.001406,               0.001406
                    152,                0.48022,                0.31643,                0.86879,                0.99641,                      1,                  0.995,                0.89049,                0.50428,                0.27634,                0.92566,               0.001402,               0.001402,               0.001402
                    153,                0.49327,                0.30992,                0.87056,                0.99643,                      1,                  0.995,                0.88849,                0.52319,                0.25708,                0.92344,              0.0013981,              0.0013981,              0.0013981
                    154,                0.44451,                0.31829,                0.85103,                 0.9964,                      1,                  0.995,                0.90108,                0.54636,                0.25055,                0.92613,              0.0013941,              0.0013941,              0.0013941
                    155,                0.40521,                0.29592,                0.83976,                 0.9965,                      1,                  0.995,                0.92473,                0.55509,                0.24458,                0.93173,              0.0013902,              0.0013902,              0.0013902
                    156,                0.44426,                0.31558,                0.83139,                 0.9965,                      1,                  0.995,                 0.9057,                0.55236,                0.26762,                0.93592,              0.0013862,              0.0013862,              0.0013862
                    157,                0.44544,                0.30188,                0.86427,                0.99651,                      1,                  0.995,                0.89894,                 0.5652,                0.27928,                0.93487,              0.0013822,              0.0013822,              0.0013822
