                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.49521,                0.40294,                0.85301,                 0.9967,                      1,                  0.995,                0.86368,                0.53194,                0.32908,                0.92595,              0.0016159,              0.0016159,              0.0016159
                     99,                 0.5392,                0.41665,                0.85429,                0.99689,                      1,                  0.995,                0.88022,                0.54665,                0.31047,                0.92372,              0.0016119,              0.0016119,              0.0016119
                    100,                0.52884,                0.43873,                0.88125,                0.99669,                      1,                  0.995,                0.85814,                0.59614,                0.31891,                0.92034,               0.001608,               0.001608,               0.001608
                    101,                0.55042,                0.41818,                0.87136,                0.99633,                      1,                  0.995,                0.87626,                0.56338,                0.35763,                0.91952,               0.001604,               0.001604,               0.001604
                    102,                 0.5941,                0.45777,                0.89903,                0.99634,                      1,                  0.995,                0.88886,                 0.5246,                 0.3685,                 0.9184,                 0.0016,                 0.0016,                 0.0016
                    103,                 0.5248,                0.42778,                0.87883,                 0.9963,                      1,                  0.995,                0.88754,                0.58489,                0.36659,                0.92612,              0.0015961,              0.0015961,              0.0015961
                    104,                 0.5679,                0.43654,                0.89483,                0.99645,                      1,                  0.995,                0.86831,                0.60192,                0.34902,                0.92895,              0.0015921,              0.0015921,              0.0015921
                    105,                0.53578,                0.43126,                0.87484,                0.99648,                      1,                  0.995,                0.89444,                0.54057,                0.31874,                0.91787,              0.0015882,              0.0015882,              0.0015882
                    106,                 0.5146,                0.43908,                0.87893,                 0.9965,                      1,                  0.995,                0.88485,                0.53121,                0.30626,                0.92059,              0.0015842,              0.0015842,              0.0015842
                    107,                0.53457,                0.45639,                 0.8894,                 0.9965,                      1,                  0.995,                0.86789,                0.57968,                0.33093,                0.93805,              0.0015802,              0.0015802,              0.0015802
                    108,                0.49672,                0.41009,                0.86994,                0.99649,                      1,                  0.995,                0.87906,                0.57619,                0.35607,                0.95955,              0.0015763,              0.0015763,              0.0015763
                    109,                0.46543,                0.40197,                0.86519,                 0.9965,                      1,                  0.995,                0.87688,                 0.5792,                0.35456,                0.95684,              0.0015723,              0.0015723,              0.0015723
                    110,                0.51842,                0.40385,                0.86194,                0.99651,                      1,                  0.995,                0.86928,                0.56968,                0.36132,                0.94694,              0.0015684,              0.0015684,              0.0015684
                    111,                0.51841,                0.42628,                0.87874,                0.99636,                      1,                  0.995,                0.85672,                0.56982,                0.35511,                  0.956,              0.0015644,              0.0015644,              0.0015644
                    112,                0.56133,                0.42652,                0.92104,                0.99612,                      1,                  0.995,                0.86331,                0.60176,                0.32474,                0.97406,              0.0015604,              0.0015604,              0.0015604
                    113,                  0.542,                0.40185,                 0.8865,                0.99604,                      1,                  0.995,                0.86807,                0.59247,                0.30746,                 0.9531,              0.0015565,              0.0015565,              0.0015565
                    114,                0.52647,                0.41294,                0.88015,                0.99606,                      1,                  0.995,                0.89177,                0.55902,                0.32222,                0.93241,              0.0015525,              0.0015525,              0.0015525
                    115,                0.55222,                0.42986,                0.89259,                0.99619,                      1,                  0.995,                0.88266,                0.55615,                0.33941,                0.93494,              0.0015486,              0.0015486,              0.0015486
                    116,                0.47873,                0.40644,                0.86688,                0.99646,                      1,                  0.995,                0.86669,                0.56008,                0.33915,                 0.9421,              0.0015446,              0.0015446,              0.0015446
                    117,                0.49118,                0.39902,                0.88733,                0.99648,                      1,                  0.995,                0.84687,                0.54935,                0.31431,                0.93556,              0.0015406,              0.0015406,              0.0015406
                    118,                0.48813,                0.38669,                0.87275,                0.99669,                      1,                  0.995,                0.87375,                0.54996,                0.34298,                 0.9218,              0.0015367,              0.0015367,              0.0015367
